hndd,cndd,rank,mean_abundance
0.5,12,1,355.567
0.5,12,2,321.088
0.5,12,3,301.172
0.5,12,4,286.601
0.5,12,5,275.532
0.5,12,6,266.031
0.5,12,7,258.518
0.5,12,8,251.269
0.5,12,9,245.031
0.5,12,10,239.322
0.5,12,11,234.08
0.5,12,12,229.015
0.5,12,13,224.281
0.5,12,14,219.831
0.5,12,15,215.847
0.5,12,16,212.031
0.5,12,17,208.105
0.5,12,18,204.532
0.5,12,19,201.269
0.5,12,20,198.033
0.5,12,21,194.972
0.5,12,22,191.812
0.5,12,23,188.918
0.5,12,24,186.169
0.5,12,25,183.205
0.5,12,26,180.667
0.5,12,27,178.071
0.5,12,28,175.422
0.5,12,29,172.909
0.5,12,30,170.459
0.5,12,31,168.01
0.5,12,32,165.568
0.5,12,33,163.221
0.5,12,34,160.938
0.5,12,35,158.612
0.5,12,36,156.36
0.5,12,37,154.139
0.5,12,38,152.044
0.5,12,39,149.882
0.5,12,40,147.831
0.5,12,41,145.769
0.5,12,42,143.741
0.5,12,43,141.799
0.5,12,44,139.878
0.5,12,45,138.006
0.5,12,46,136.046
0.5,12,47,134.175
0.5,12,48,132.293
0.5,12,49,130.36
0.5,12,50,128.558
0.5,12,51,126.694
0.5,12,52,124.99
0.5,12,53,123.333
0.5,12,54,121.488
0.5,12,55,119.733
0.5,12,56,118.01
0.5,12,57,116.254
0.5,12,58,114.572
0.5,12,59,112.896
0.5,12,60,111.261
0.5,12,61,109.557
0.5,12,62,107.998
0.5,12,63,106.439
0.5,12,64,104.919
0.5,12,65,103.291
0.5,12,66,101.716
0.5,12,67,100.137
0.5,12,68,98.612
0.5,12,69,97.021
0.5,12,70,95.485
0.5,12,71,93.967
0.5,12,72,92.53
0.5,12,73,90.915
0.5,12,74,89.438
0.5,12,75,87.978
0.5,12,76,86.525
0.5,12,77,85.085
0.5,12,78,83.655
0.5,12,79,82.192
0.5,12,80,80.837
0.5,12,81,79.41
0.5,12,82,78.033
0.5,12,83,76.667
0.5,12,84,75.302
0.5,12,85,73.941
0.5,12,86,72.521
0.5,12,87,71.113
0.5,12,88,69.746
0.5,12,89,68.391
0.5,12,90,67.003
0.5,12,91,65.665
0.5,12,92,64.305
0.5,12,93,63.006
0.5,12,94,61.673
0.5,12,95,60.348
0.5,12,96,59.107
0.5,12,97,57.892
0.5,12,98,56.654
0.5,12,99,55.453
0.5,12,100,54.215
0.5,12,101,52.979
0.5,12,102,51.764
0.5,12,103,50.589
0.5,12,104,49.423
0.5,12,105,48.189
0.5,12,106,46.991
0.5,12,107,45.819
0.5,12,108,44.717
0.5,12,109,43.602
0.5,12,110,42.498
0.5,12,111,41.469
0.5,12,112,40.384
0.5,12,113,39.325
0.5,12,114,38.249
0.5,12,115,37.115
0.5,12,116,36.096
0.5,12,117,35.055
0.5,12,118,33.983
0.5,12,119,32.986
0.5,12,120,31.908
0.5,12,121,30.869
0.5,12,122,29.855
0.5,12,123,28.892
0.5,12,124,27.918
0.5,12,125,26.991
0.5,12,126,26.058
0.5,12,127,25.158
0.5,12,128,24.267
0.5,12,129,23.355
0.5,12,130,22.442
0.5,12,131,21.551
0.5,12,132,20.691
0.5,12,133,19.838
0.5,12,134,18.979
0.5,12,135,18.142
0.5,12,136,17.36
0.5,12,137,16.569
0.5,12,138,15.768
0.5,12,139,15.038
0.5,12,140,14.337
0.5,12,141,13.626
0.5,12,142,12.906
0.5,12,143,12.239
0.5,12,144,11.567
0.5,12,145,10.895
0.5,12,146,10.253
0.5,12,147,9.682
0.5,12,148,9.101
0.5,12,149,8.511
0.5,12,150,7.974
0.5,12,151,7.417
0.5,12,152,6.916
0.5,12,153,6.462
0.5,12,154,6.006
0.5,12,155,5.58358358358358
0.5,12,156,5.14014014014014
0.5,12,157,4.72645290581162
0.5,12,158,4.31394182547643
0.5,12,159,3.99293642785066
0.5,12,160,3.67849898580122
0.5,12,161,3.38877551020408
0.5,12,162,3.11225540679712
0.5,12,163,2.87015706806283
0.5,12,164,2.62061636556854
0.5,12,165,2.4041394335512
0.5,12,166,2.22569832402235
0.5,12,167,2.05793742757822
0.5,12,168,1.92542787286064
0.5,12,169,1.79818887451488
0.5,12,170,1.72507122507123
0.5,12,171,1.63358778625954
0.5,12,172,1.55650684931507
0.5,12,173,1.48598130841122
0.5,12,174,1.39957264957265
0.5,12,175,1.34939759036145
0.5,12,176,1.32193732193732
0.5,12,177,1.2751677852349
0.5,12,178,1.23228346456693
0.5,12,179,1.20192307692308
0.5,12,180,1.17714285714286
0.5,12,181,1.12765957446809
0.5,12,182,1.1
0.5,12,183,1.09195402298851
0.5,12,184,1.05714285714286
0.5,12,185,1.05660377358491
0.5,12,186,1.04761904761905
0.5,12,187,1.0625
0.5,12,188,1
0.5,12,189,1
0.5,12,190,1
0.5,12,191,1
0.5,12,192,1
0.5,12,193,1
0.5,12,194,1
0.5,3,1,485.279
0.5,3,2,428.141
0.5,3,3,396.468
0.5,3,4,373.919
0.5,3,5,356.25
0.5,3,6,342.122
0.5,3,7,329.629
0.5,3,8,318.199
0.5,3,9,308.346
0.5,3,10,299.119
0.5,3,11,290.208
0.5,3,12,282.454
0.5,3,13,274.815
0.5,3,14,267.913
0.5,3,15,261.335
0.5,3,16,255.305
0.5,3,17,249.354
0.5,3,18,243.68
0.5,3,19,238.382
0.5,3,20,233.104
0.5,3,21,228.268
0.5,3,22,223.335
0.5,3,23,218.615
0.5,3,24,213.957
0.5,3,25,209.502
